Threshold,precision_0,recall_0,f-score_0,Precision,Recall,F1.Score,accuracy,MCC,Algorithm
0.24,0.970182827,0.979551377,0.974747431,0.86139448,0.796050428,0.823413872,0.95584609,0.801663106,BERT
0.25,0.970079499,0.979655761,0.974748817,0.861977743,0.795346203,0.823356293,0.95584609,0.801602252,BERT
0.26,0.970079499,0.979655761,0.974748817,0.861977743,0.795346203,0.823356293,0.95584609,0.801602252,BERT
0.27,0.970083076,0.979760036,0.974802665,0.862529921,0.795346203,0.823629455,0.955936917,0.801931247,BERT
0.28,0.969976832,0.979760036,0.974751304,0.862377108,0.794641978,0.823251718,0.955846008,0.801466525,BERT
0.29,0.969978576,0.97986442,0.974806042,0.862803912,0.794641978,0.823508517,0.955936917,0.801747028,BERT
0.3,0.969978576,0.97986442,0.974806042,0.862803912,0.794641978,0.823508517,0.955936917,0.801747028,BERT
0.31,0.969978576,0.97986442,0.974806042,0.862803912,0.794641978,0.823508517,0.955936917,0.801747028,BERT
0.32,0.969980316,0.979968804,0.974860722,0.863235709,0.794641978,0.823766957,0.956027826,0.802029794,BERT
0.33,0.969988361,0.980177355,0.974967241,0.86461318,0.794641978,0.824351935,0.956209479,0.802787336,BERT
0.34,0.96999243,0.980281739,0.97501976,0.865479643,0.794641978,0.824677035,0.956300388,0.803233093,BERT
0.35,0.96999243,0.980281739,0.97501976,0.865479643,0.794641978,0.824677035,0.956300388,0.803233093,BERT
0.36,0.969890446,0.980281739,0.974968848,0.865363093,0.793937752,0.824269723,0.956209562,0.802772794,BERT
0.37,0.969791336,0.980281739,0.974918289,0.865289789,0.793233527,0.82383233,0.956118652,0.802316611,BERT
0.38,0.96979631,0.980490507,0.975025658,0.866478596,0.793233527,0.824412164,0.956300471,0.803010484,BERT
0.39,0.969703235,0.980699167,0.975082085,0.867593453,0.792529302,0.824552267,0.956391215,0.803249683,BERT
0.4,0.969706696,0.980907935,0.975191156,0.868482809,0.792529302,0.825077495,0.956573033,0.80382683,BERT
0.41,0.969706696,0.980907935,0.975191156,0.868482809,0.792529302,0.825077495,0.956573033,0.80382683,BERT
0.42,0.969517045,0.981325145,0.975302453,0.870925769,0.791120851,0.825439909,0.956754686,0.804398344,BERT
0.43,0.969517045,0.981325145,0.975302453,0.870925769,0.791120851,0.825439909,0.956754686,0.804398344,BERT
0.44,0.969426094,0.981533805,0.975360852,0.871853234,0.790416626,0.825494494,0.956845595,0.804545764,BERT
0.45,0.96923469,0.98163808,0.97531408,0.872314472,0.789008175,0.824849473,0.956754603,0.803964206,BERT
0.46,0.96913601,0.981742464,0.975317931,0.872643781,0.788308874,0.824688811,0.956754686,0.803789774,BERT
0.47,0.96913601,0.981742464,0.975317931,0.872643781,0.788308874,0.824688811,0.956754686,0.803789774,BERT
0.48,0.969137727,0.981846848,0.975372265,0.873107454,0.788308874,0.824957435,0.956845595,0.804086835,BERT
0.49,0.9690381,0.981846848,0.975321494,0.873055841,0.787609574,0.824535388,0.956754768,0.803644435,BERT
0.5,0.9690381,0.981846848,0.975321494,0.873055841,0.787609574,0.824535388,0.956754768,0.803644435,BERT
0.51,0.968939872,0.981846848,0.975271032,0.87301836,0.786905348,0.824091989,0.956663942,0.803197261,BERT
0.52,0.968943394,0.981951232,0.97532372,0.873800628,0.786905348,0.824412749,0.956754851,0.803615853,BERT
0.53,0.96883827,0.981951232,0.9752724,0.873660199,0.786201123,0.824029534,0.956663942,0.803154211,BERT
0.54,0.968840095,0.982055616,0.975326675,0.874131545,0.786201123,0.824299544,0.956754851,0.803454404,BERT
0.55,0.968735305,0.982055616,0.975275408,0.873991425,0.785496897,0.823913435,0.956663942,0.802992084,BERT
0.56,0.968739162,0.982264385,0.975383783,0.874955931,0.785496897,0.82445805,0.95684576,0.803601515,BERT
0.57,0.968637385,0.982264385,0.975332868,0.874846052,0.784792672,0.824049948,0.956754934,0.803143204,BERT
0.58,0.968637385,0.982264385,0.975332868,0.874846052,0.784792672,0.824049948,0.956754934,0.803143204,BERT
0.59,0.96864071,0.982368769,0.975386329,0.875456074,0.784792672,0.824338749,0.95684576,0.8034963,BERT
0.6,0.968548703,0.982577428,0.975441914,0.876794697,0.784088447,0.824507771,0.956936587,0.80381625,BERT
0.61,0.968548703,0.982577428,0.975441914,0.876794697,0.784088447,0.824507771,0.956936587,0.80381625,BERT
0.62,0.968552251,0.982681703,0.975495538,0.877379712,0.784088447,0.824788837,0.957027413,0.804158627,BERT
0.63,0.968452271,0.982681703,0.97544521,0.877232653,0.783384221,0.82434991,0.956936587,0.803678315,BERT
0.64,0.968454193,0.982786088,0.975499312,0.877724005,0.783384221,0.824624931,0.957027496,0.803987011,BERT
0.65,0.968454193,0.982786088,0.975499312,0.877724005,0.783384221,0.824624931,0.957027496,0.803987011,BERT
0.66,0.968349954,0.982786088,0.975448094,0.877588665,0.782679996,0.82423512,0.956936587,0.803525359,BERT
0.67,0.968256652,0.982994747,0.975505085,0.878639033,0.781975771,0.82435596,0.957027413,0.803735736,BERT
0.68,0.968256652,0.982994747,0.975505085,0.878639033,0.781975771,0.82435596,0.957027413,0.803735736,BERT
0.69,0.968055198,0.982994747,0.97540373,0.878407627,0.780572245,0.82351303,0.95684576,0.802808511,BERT
0.7,0.968055198,0.982994747,0.97540373,0.878407627,0.780572245,0.82351303,0.95684576,0.802808511,BERT
0.71,0.968055198,0.982994747,0.97540373,0.878407627,0.780572245,0.82351303,0.95684576,0.802808511,BERT
0.72,0.967954928,0.983099022,0.975406131,0.878869904,0.779868019,0.823402752,0.956845677,0.802693013,BERT
0.73,0.967756421,0.983203298,0.975357744,0.879326718,0.778464493,0.82286904,0.956754851,0.802150444,BERT
0.74,0.967656363,0.983307573,0.975360143,0.879796235,0.777760268,0.822758172,0.956754768,0.802037183,BERT
0.75,0.967558735,0.983411957,0.975362735,0.880317085,0.777056043,0.822633398,0.956754768,0.80193705,BERT
0.76,0.967457897,0.983411957,0.975311975,0.880213599,0.776351817,0.822215249,0.956663942,0.801477672,BERT
0.77,0.967359223,0.983516232,0.975314302,0.880738323,0.775647592,0.822105205,0.956663942,0.801383444,BERT
0.78,0.967370111,0.983829058,0.975473787,0.882794121,0.775647592,0.822998812,0.956936421,0.80252229,BERT
0.79,0.967370111,0.983829058,0.975473787,0.882794121,0.775647592,0.822998812,0.956936421,0.80252229,BERT
0.8,0.967372349,0.983933442,0.975527771,0.883305223,0.775647592,0.823276362,0.957027331,0.802838631,BERT
0.81,0.967374581,0.984037826,0.975581698,0.883823006,0.775647592,0.823555794,0.95711824,0.803157836,BERT
0.82,0.967376809,0.984142211,0.975635568,0.884347602,0.775647592,0.823837127,0.957209149,0.803479954,BERT
0.83,0.967077908,0.98435087,0.975589977,0.885234099,0.773534916,0.823176959,0.95711824,0.802802891,BERT
0.84,0.966978432,0.98435087,0.975539696,0.885095306,0.77283069,0.82273312,0.957027413,0.802323706,BERT
0.85,0.966992699,0.984872573,0.975806159,0.888246453,0.77283069,0.824226252,0.957481711,0.804136471,BERT
0.86,0.966992699,0.984872573,0.975806159,0.888246453,0.77283069,0.824226252,0.957481711,0.804136471,BERT
0.87,0.966992699,0.984872573,0.975806159,0.888246453,0.77283069,0.824226252,0.957481711,0.804136471,BERT
0.88,0.966995466,0.984976848,0.975859128,0.888917283,0.77283069,0.824536405,0.957572537,0.804516231,BERT
